id,app,storefront,rating,date,primary_wish,title
En-US-005,Endel,US,1,2026-08-24,account / subscription management / restore,Refund Warning!!
En-US-012,Endel,US,2,2026-08-20,visuals / UI / navigation / dark mode,Invasive and off putting
En-US-020,Endel,US,5,2026-08-12,more variety / more soundscapes & music,Amazing
En-US-022,Endel,US,2,2026-08-11,account / subscription management / restore,No option to cancel after free trial.
En-US-023,Endel,US,1,2026-08-10,stop upsell / ads / push nagging,Keeps bugging me about lifetime subscription
En-US-027,Endel,US,3,2026-08-03,cheaper / pricing / free tier,Too Expensive
En-US-056,Endel,US,2,2026-07-03,customization / mix-your-own / controls,I want to like the App but…it’s misleading
En-US-071,Endel,US,4,2026-06-23,more variety / more soundscapes & music,"If only it was cheaper, so everyone could utilize it."
En-US-079,Endel,US,1,2026-06-16,account / subscription management / restore,Can’t cancel app!
En-US-081,Endel,US,1,2026-06-15,quality / higher-fidelity audio,Misleading advertising
En-US-084,Endel,US,2,2026-06-14,account / subscription management / restore,Subscription is through Paddle
En-US-094,Endel,US,4,2026-06-07,customization / mix-your-own / controls,Not entirely what I expected but not bad either
En-US-101,Endel,US,2,2026-06-02,customization / mix-your-own / controls,Not ready for MacOS
En-US-103,Endel,US,1,2026-06-02,cheaper / pricing / free tier,Annoying and deceptive
En-US-114,Endel,US,5,2026-05-29,other/uncategorized wish,Love this
En-US-115,Endel,US,5,2026-05-27,offline / download,Endel continues to soothe and focus my brain
En-US-127,Endel,US,1,2026-05-23,other/uncategorized wish,"Seems cool, but"
En-US-131,Endel,US,2,2026-05-21,stop upsell / ads / push nagging,NAGWARE (even with subscription)
En-US-143,Endel,US,2,2026-05-18,timer / scheduling / session features,"Helpful app, bad monetization"
En-US-153,Endel,US,1,2026-05-13,offline / download,Persistent notifications. Horrendous.
En-US-160,Endel,US,1,2026-05-11,timer / scheduling / session features,Nice idea. False Advertising on Social Media
En-US-167,Endel,US,3,2026-05-08,desktop / mac / windows / web version,Audio playback bug on macOS (Premium subscription)
En-US-174,Endel,US,1,2026-05-05,bugs/fixes (stability wishes),Aggressive advertisement for paid users
En-US-190,Endel,US,1,2026-05-02,account / subscription management / restore,Scam - charged me immediately for a year
En-US-195,Endel,US,4,2026-05-01,timer / scheduling / session features,"More Shortcuts Please, and better focus breaks"
En-US-200,Endel,US,4,2026-04-30,more variety / more soundscapes & music,Good for when music is too much
En-US-201,Endel,US,5,2026-04-30,bugs/fixes (stability wishes),Please update
En-US-202,Endel,US,5,2026-04-29,customization / mix-your-own / controls,Can’t sleep or read without it
En-US-209,Endel,US,4,2026-04-28,more variety / more soundscapes & music,ADHD regulator!
En-US-228,Endel,US,1,2026-04-15,desktop / mac / windows / web version,Premium Account tho not on desktop app
En-US-229,Endel,US,1,2026-04-15,account / subscription management / restore,No communication no refund
En-US-235,Endel,US,5,2026-04-14,cheaper / pricing / free tier,I wish I had the money
En-US-237,Endel,US,5,2026-04-13,integration: watch / wearable / smart home / casting,This is so good!
En-US-240,Endel,US,2,2026-04-09,account / subscription management / restore,Unimpressed
En-US-252,Endel,US,1,2026-04-03,account / subscription management / restore,App is a scam
En-US-258,Endel,US,3,2026-04-02,bugs/fixes (stability wishes),Stops playing after 10 minutes
En-US-260,Endel,US,1,2026-04-01,cheaper / pricing / free tier,Too expensive and won't stop trying to bill me
En-US-266,Endel,US,1,2026-03-28,account / subscription management / restore,Charge even if cancel
En-US-284,Endel,US,5,2026-03-23,customization / mix-your-own / controls,Love it_1 suggestion/request
En-US-286,Endel,US,3,2026-03-23,account / subscription management / restore,Good but
En-US-288,Endel,US,3,2026-03-23,cheaper / pricing / free tier,Interesting but wasn’t compelled to subscribe
En-US-290,Endel,US,3,2026-03-22,customization / mix-your-own / controls,Confused
En-US-296,Endel,US,1,2026-03-19,other/uncategorized wish,Tried the app it billed and did not show in Apple Subscriptions
En-US-297,Endel,US,5,2026-03-19,more variety / more soundscapes & music,very versatile use
En-DE-021,Endel,DE,2,2026-06-11,other/uncategorized wish,Huge Fan BUT
En-DE-026,Endel,DE,4,2026-05-21,quality / higher-fidelity audio,8D Odyssee
